iter	RMSE
0	70639.27753
1	70078.29021
2	69615.55149
3	69115.97752
4	68685.19781
5	68320.68555
6	67906.73406
7	67539.68526
8	67095.02737
9	66683.89148
10	66454.09153
11	66141.13286
12	65769.13461
13	65577.65576
14	65203.21232
15	64881.17226
16	64611.07446
17	64344.24458
18	64084.88404
19	63828.62267
20	63531.1612
21	63350.96151
22	62986.42888
23	62712.3881
24	62484.49067
25	62401.74229
26	62192.49168
27	61958.03472
28	61747.36371
29	61556.07084
30	61433.51731
31	61267.69305
32	61052.90951
33	60890.74753
34	60644.39029
35	60385.29699
36	60185.05489
37	59944.76509
38	59772.44548
39	59685.5271
40	59563.20776
41	59400.69316
42	59290.04038
43	59101.3754
44	59011.12328
45	58891.83601
46	58794.52508
47	58666.05253
48	58589.7869
49	58478.8725
50	58367.63571
51	58249.82727
52	58160.81765
53	58048.99791
54	57962.08447
55	57867.60807
56	57786.55023
57	57725.73268
58	57628.13769
59	57533.09091
60	57315.77098
61	57256.95786
62	57177.23509
63	57113.96671
64	57063.21453
65	56960.93507
66	56896.44643
67	56775.86617
68	56697.87716
69	56614.83985
70	56577.91589
71	56509.74985
72	56434.99231
73	56342.64007
74	56224.75344
75	56191.42003
76	56116.99944
77	55968.83573
78	55894.86055
79	55854.85266
80	55827.46657
81	55741.83087
82	55669.42848
83	55518.48961
84	55454.08563
85	55315.60835
86	55165.7127
87	55129.84668
88	54957.64007
89	54780.58034
90	54694.42205
91	54604.25462
92	54541.80889
93	54359.68323
94	54292.14728
95	54252.44933
96	54190.62395
97	54109.22242
98	53984.48148
99	53903.18736
100	53827.32376
101	53774.57199
102	53696.83352
103	53521.9821
104	53394.92828
105	53316.84623
106	53295.73747
107	53184.373
108	53036.37022
109	52905.96791
110	52779.4612
111	52740.85951
112	52709.811
113	52572.30173
114	52523.84967
115	52480.8748
116	52384.04032
117	52326.56944
118	52266.9655
119	52214.01006
120	52188.92314
121	52101.43478
122	52056.16586
123	51956.64745
124	51871.61411
125	51800.11034
126	51736.42761
127	51723.73438
128	51680.61419
129	51642.17188
130	51608.9021
131	51572.91739
132	51535.77381
133	51384.5596
134	51353.25153
135	51344.2526
136	51209.51811
137	51165.39835
138	51112.94805
139	51081.76475
140	51026.2023
141	50951.40107
142	50918.44658
143	50829.64619
144	50756.6089
145	50678.2232
146	50624.58333
147	50483.81857
148	50385.75728
149	50361.34995
150	50306.14677
151	50248.05108
152	50220.1692
153	50180.66226
154	50147.02805
155	50059.84925
156	50011.09698
157	49969.88962
158	49876.77941
159	49846.51207
160	49815.11121
161	49764.90751
162	49731.26952
163	49695.19075
164	49609.07935
165	49547.48494
166	49504.02365
167	49473.05327
168	49462.4643
169	49411.55708
170	49373.61193
171	49337.89045
172	49297.86359
173	49271.3166
174	49246.2947
175	49174.07797
176	49142.99603
177	49108.40152
178	49053.23583
179	48993.32987
180	48962.57975
181	48924.53924
182	48875.27933
183	48850.8887
184	48810.43469
185	48734.37736
186	48686.45735
187	48636.01548
188	48555.82988
189	48519.53489
190	48427.19989
191	48382.79626
192	48260.70728
193	48146.22093
194	48101.75875
195	48083.69615
196	48046.55357
197	48015.68297
198	47962.79609
199	47914.47903
200	47847.98409
201	47801.70105
202	47750.52778
203	47716.54331
204	47692.35103
205	47649.67363
206	47625.21971
207	47503.98736
208	47384.16255
209	47350.25273
210	47329.31887
211	47288.79117
212	47272.88952
213	47234.56104
214	47210.33186
215	47182.97926
216	47128.48508
217	47096.87344
218	47035.32488
219	46976.38789
220	46890.8517
221	46874.17743
222	46847.62324
223	46822.86898
224	46784.02202
225	46759.2187
226	46722.05029
227	46698.86307
228	46668.87191
229	46617.21442
230	46567.49071
231	46547.2714
232	46519.72916
233	46500.47915
234	46434.4712
235	46409.66657
236	46387.09827
237	46361.42836
238	46338.69848
239	46313.25558
240	46288.48961
241	46210.02537
242	46181.79575
