iter	Passed	Remaining
0	130	130817
1	132	65925
2	132	44182
3	134	33505
4	136	27089
5	136	22690
6	138	19637
7	139	17278
8	141	15528
9	142	14122
10	144	12964
11	145	12000
12	147	11161
13	148	10461
14	149	9848
15	151	9315
16	152	8840
17	154	8417
18	155	8003
19	156	7662
20	157	7351
21	159	7071
22	160	6821
23	161	6586
24	163	6373
25	163	6141
26	165	5955
27	166	5785
28	168	5626
29	169	5481
30	170	5331
31	172	5203
32	173	5081
33	174	4965
34	175	4850
35	177	4744
36	178	4645
37	179	4548
38	180	4455
39	181	4356
40	182	4272
41	183	4195
42	184	4117
43	186	4042
44	186	3966
45	187	3898
46	189	3833
47	190	3771
48	191	3709
49	192	3650
50	193	3593
51	194	3539
52	195	3487
53	196	3436
54	197	3386
55	197	3336
56	198	3288
57	199	3237
58	200	3191
59	200	3147
60	201	3106
61	202	3065
62	203	3024
63	204	2984
64	204	2942
65	205	2903
66	205	2866
67	206	2830
68	207	2795
69	207	2763
70	208	2729
71	209	2699
72	210	2670
73	211	2644
74	212	2616
75	212	2585
76	213	2559
77	214	2534
78	215	2508
79	215	2481
80	216	2453
81	216	2428
82	217	2404
83	218	2381
84	219	2358
85	219	2336
86	220	2313
87	221	2292
88	221	2270
89	222	2249
90	223	2229
91	223	2210
92	224	2191
93	225	2173
94	226	2153
95	226	2135
96	227	2116
97	228	2098
98	228	2081
99	229	2064
100	230	2047
101	230	2031
102	231	2015
103	232	1999
104	232	1983
105	233	1968
106	233	1949
107	234	1934
108	234	1919
109	235	1905
110	236	1892
111	236	1876
112	237	1861
113	238	1852
114	239	1839
115	239	1826
116	240	1814
117	241	1801
118	241	1789
119	242	1777
120	243	1765
121	243	1754
122	244	1742
123	245	1731
124	245	1720
125	246	1710
126	247	1699
127	247	1686
128	248	1676
129	248	1664
130	249	1652
131	249	1642
132	250	1631
133	250	1622
134	251	1612
135	252	1600
136	252	1591
137	253	1582
138	253	1573
139	254	1562
140	254	1553
141	255	1544
142	256	1536
143	257	1528
144	257	1519
145	258	1511
146	259	1503
147	259	1495
148	260	1487
149	261	1479
150	261	1471
151	262	1464
152	263	1456
153	263	1449
154	264	1442
155	265	1435
156	265	1428
157	266	1420
158	267	1414
159	268	1407
160	268	1400
161	269	1393
162	269	1386
163	270	1378
164	271	1372
165	272	1366
166	272	1360
167	273	1353
168	273	1345
169	274	1339
170	274	1332
171	275	1326
172	276	1320
173	276	1314
174	277	1308
175	278	1302
176	278	1296
177	279	1290
178	280	1285
179	280	1279
180	281	1273
181	282	1268
182	282	1262
183	283	1256
184	284	1251
185	284	1246
186	285	1240
187	286	1235
188	286	1230
189	287	1225
190	288	1220
191	288	1215
192	289	1210
193	290	1205
194	290	1200
195	291	1196
196	292	1192
197	293	1187
198	293	1183
199	294	1178
200	295	1173
201	296	1169
202	296	1164
203	297	1160
204	298	1155
205	298	1151
206	299	1147
207	300	1143
208	300	1138
209	301	1134
210	302	1130
211	303	1126
212	303	1121
213	304	1117
214	304	1113
215	305	1109
216	306	1105
217	306	1101
218	307	1097
219	308	1093
220	309	1089
221	309	1085
222	310	1081
223	311	1077
224	311	1073
225	312	1069
226	313	1066
227	313	1062
228	314	1059
229	315	1055
230	316	1051
231	316	1048
232	317	1044
233	318	1041
234	318	1037
235	319	1034
236	320	1030
237	320	1027
238	321	1023
239	322	1020
240	322	1016
241	323	1013
242	324	1010
243	324	1006
244	325	1003
245	326	999
246	326	996
247	327	993
248	328	990
249	328	986
250	329	983
251	330	980
252	330	976
253	331	973
254	332	970
255	333	967
256	333	964
257	334	961
258	335	958
259	335	955
260	336	952
261	337	949
262	337	946
263	338	943
264	339	940
265	339	937
266	340	934
267	340	931
268	341	928
269	342	925
270	342	922
271	343	919
272	344	916
273	344	913
274	345	910
275	346	907
276	346	905
277	347	902
278	348	899
279	348	896
280	349	894
281	350	891
282	350	888
283	351	885
284	352	883
285	352	880
286	353	877
287	353	875
288	354	872
289	355	869
290	355	867
291	356	864
292	357	862
293	357	859
294	358	856
295	359	854
296	359	851
297	360	849
298	361	846
299	361	844
300	362	841
301	363	839
302	364	837
303	364	834
304	365	832
305	366	830
306	366	827
307	367	825
308	367	822
309	368	820
310	369	818
311	369	815
312	370	813
313	371	811
314	371	808
315	372	806
316	373	804
317	373	801
318	374	799
319	374	796
320	375	794
321	376	791
322	376	789
323	377	787
324	377	784
325	378	782
326	379	780
327	379	777
328	380	775
329	380	773
330	381	770
331	381	768
332	382	766
333	383	763
334	383	761
335	384	759
336	384	757
337	385	754
338	385	752
339	386	750
340	387	748
341	387	746
342	388	743
343	388	741
344	389	739
345	390	737
346	390	735
347	391	733
348	391	730
349	392	728
350	393	726
351	393	724
352	394	722
353	394	720
354	395	718
355	396	716
356	396	714
357	397	712
358	397	710
359	398	708
360	398	706
361	399	704
362	400	702
363	400	700
364	401	698
365	402	696
366	402	694
367	403	692
368	403	690
369	404	688
